"age","male","educ","educ0","income","hhincome","white_nh","tea_party","conserv","partyID","pid1","Democrat1","Republican1","milAssert1","intl1","anxiety","cGroup_Endorse","cGroup_Oppose","groupControl","tGroup_Endorse","tGroup_Oppose","cMCheck","tMCheck","cPivot","cCertain","cSucceed","cThreat","tDeploy","tCertain","tSucceed","tThreat","cHot","tHot","cDem","tDem","cFirst","ID"
56,0,3,0.25,6,7,1,0,4,2,0.166666666666667,1,0,0.5,0.4375,0.466666666666667,1,0,0,0,1,1,0,0.777777777777778,0.81,0.86,1,0.25,0.25,0.3,1,0,1,1,0,0,"R_6hZzBiFSBh2jbTf"
27,1,8,0.875,6,9,0,0,3,2,0.166666666666667,1,0,0.1875,0.5625,0.4,1,0,0,0,1,1,1,0.166666666666667,0.97,0.59,0.33,0.04,1,0.04,0.32,0,1,0,1,1,"R_5zj5JpNRryFVuJf"
35,0,3,0.25,3,3,1,1,7,5,0.666666666666667,0,1,0.6875,0.25,0.333333333333333,1,0,0,0,1,1,1,1,1,0.55,1,0.48,1,0.46,0.73,0,1,0,1,1,"R_d097N58catmI5pP"
57,1,8,0.875,5,5,0,0,6,7,1,0,1,0.625,0.75,0.4,0,1,0,1,0,1,0,0.511111111111111,0.55,0.62,0.48,0.76,0.73,0.77,0.86,1,0,0,1,0,"R_3mCdbzFdz1Hdomp"
26,1,3,0.25,2,2,1,0,2,1,0,1,0,0.625,0.6875,0.266666666666667,0,0,1,0,0,0,1,0.355555555555556,0.33,0.36,0.31,0.52,1,0.48,0.8,1,0,0,1,0,"R_86ToCHTJ4ipjZRP"
51,0,6,0.625,3,3,1,0,5,6,0.833333333333333,0,1,0.5625,0.5625,0.466666666666667,0,0,1,0,0,1,0,0.8,0.82,0.76,0.74,0.62,0.76,0.31,0.79,1,0,0,1,1,"R_bE32rpar02Oknpb"
30,0,5,0.5,4,4,1,0,1,1,0,1,0,0.3125,0.5625,0.6,0,1,0,1,0,1,1,0.0888888888888889,0.86,0.5,0.52,0.11,0.85,0.1,0.85,0,1,0,1,1,"R_2honSNAadJjYUCN"
50,0,5,0.5,5,5,1,0,3,2,0.166666666666667,1,0,0.4375,0.5,0.266666666666667,1,0,0,0,1,1,1,0.477777777777778,0.83,0.48,0.68,0.06,0.95,0.49,0.9,0,1,0,1,0,"R_0ih87UF35uVrMrP"
48,0,3,0.25,4,4,1,1,6,1,0,1,0,0.625,0.5625,0.266666666666667,0,1,0,1,0,0,1,0.555555555555556,0.47,0.51,0.52,0.66,0.06,0.79,0.83,0,1,1,0,0,"R_eEiEj4DcpC2Trk9"
46,0,3,0.25,3,3,1,0,6,1,0,1,0,0.5625,0.5,0.533333333333333,0,1,0,1,0,0,1,0.611111111111111,0.31,0.39,0.65,0.81,0.63,0.21,0.91,0,1,1,0,1,"R_1SJ3vJ1iIpNwDI1"
